kind,key,matches,wins,win_rate
ability,kez_talon_toss_ad,2106,988,0.469136
ability,razor_static_link,4562,2140,0.469093
hero,life_stealer,3345,1569,0.469058
ability,ember_spirit_sleight_of_fist,4597,2156,0.469002
ability,kez_falcon_rush_ad,2182,1023,0.468836
hero,faceless_void,3658,1715,0.468835
ability,chen_penitence,3978,1865,0.468829
ability,sandking_epicenter,3663,1716,0.468468
ability,sniper_headshot,4549,2131,0.468455
ability,beastmaster_summon_razorback,835,391,0.468263
ability,lone_druid_entangle,4310,2018,0.468213
hero,tinker,3977,1862,0.468192
ability,tiny_tree_grab,4414,2066,0.468056
ability,jakiro_dual_breath,3863,1806,0.467512
ability,invoker_alacrity_ad,1376,643,0.467297
ability,huskar_inner_fire,3833,1791,0.467258
ability,storm_spirit_static_remnant,2190,1022,0.466667
ability,axe_culling_blade,3892,1816,0.466598
ability,tusk_walrus_punch,4690,2188,0.466525
ability,bristleback_warpath,2999,1399,0.466489
ability,wisp_relocate,1873,873,0.466097
ability,phantom_lancer_spirit_lance,3517,1638,0.465738
ability,tiny_toss,3632,1691,0.465584
ability,abyssal_underlord_dark_portal,1753,816,0.465488
hero,lone_druid,3501,1629,0.465296
ability,arc_warden_spark_wraith,2515,1170,0.465209
ability,dark_willow_cursed_crown,2414,1123,0.465203
ability,slark_pounce,4593,2135,0.464838
ability,batrider_sticky_napalm,4442,2064,0.464656
ability,queenofpain_scream_of_pain,3573,1658,0.464036
ability,juggernaut_omni_slash,4685,2174,0.464034
ability,invoker_ghost_walk_ad,1218,565,0.463875
ability,luna_eclipse,3501,1624,0.463867
hero,venomancer,4069,1887,0.463750
ability,riki_tricks_of_the_trade,3982,1846,0.463586
ability,obsidian_destroyer_sanity_eclipse,1976,916,0.463563
ability,faceless_void_time_lock,4654,2154,0.462828
ability,techies_suicide,4378,2026,0.462768
ability,clinkz_strafe,4599,2128,0.462709
hero,tidehunter,3777,1747,0.462536
ability,queenofpain_shadow_strike,4305,1987,0.461556
ability,treant_living_armor,1534,708,0.461538
hero,templar_assassin,2768,1276,0.460983
ability,techies_sticky_bomb,2373,1093,0.460598
ability,visage_grave_chill,3066,1412,0.460535
hero,jakiro,4408,2030,0.460526
ability,troll_warlord_fervor,4513,2078,0.460448
ability,troll_warlord_whirling_axes_ranged,2426,1117,0.460429
hero,phantom_assassin,3417,1572,0.460053
ability,templar_assassin_meld,4067,1871,0.460044
ability,phantom_assassin_stifling_dagger,4478,2060,0.460027
ability,ursa_earthshock,2582,1187,0.459721
ability,tinker_rearm,4390,2018,0.459681
ability,bloodseeker_bloodrage,4466,2052,0.459472
ability,spirit_breaker_greater_bash,4695,2154,0.458786
ability,weaver_geminate_attack,4508,2062,0.457409
ability,keeper_of_the_light_illuminate,2230,1020,0.457399
ability,phoenix_sun_ray,930,425,0.456989
ability,queenofpain_sonic_wave,4001,1828,0.456886
ability,lion_finger_of_death,4710,2151,0.456688
ability,invoker_sun_strike_ad,1372,626,0.456268
ability,invoker_tornado_ad,1068,487,0.455993
ability,snapfire_lil_shredder,4465,2034,0.455543
ability,ursa_overpower,4503,2049,0.455030
ability,meepo_earthbind,1488,677,0.454973
ability,kunkka_x_marks_the_spot,2132,970,0.454972
hero,tiny,2642,1202,0.454958
ability,rattletrap_rocket_flare,1968,895,0.454776
ability,broodmother_spawn_spiderlings,2353,1070,0.454739
hero,broodmother,1615,734,0.454489
ability,earthshaker_enchant_totem,4497,2042,0.454080
ability,invoker_chaos_meteor_ad,1091,495,0.453712
ability,enchantress_impetus,4497,2039,0.453413
hero,chen,3198,1450,0.453408
ability,lion_mana_drain,3610,1634,0.452632
ability,lina_dragon_slave,2962,1340,0.452397
ability,clinkz_searing_arrows,4556,2060,0.452151
ability,bristleback_viscous_nasal_goo,2344,1059,0.451792
ability,monkey_king_jingu_mastery,4582,2069,0.451550
ability,bounty_hunter_shuriken_toss,2895,1303,0.450086
ability,oracle_fates_edict,1830,823,0.449727
ability,phantom_lancer_phantom_edge,3964,1782,0.449546
ability,lina_laguna_blade,3947,1767,0.447682
hero,troll_warlord,3717,1660,0.446597
ability,winter_wyvern_splinter_blast,2038,910,0.446516
ability,bane_nightmare,4505,2011,0.446393
ability,oracle_purifying_flames,2162,965,0.446346
hero,huskar,4140,1847,0.446135
hero,riki,2720,1212,0.445588
hero,sand_king,3290,1465,0.445289
ability,meepo_poof,731,325,0.444596
ability,spectre_shadow_step,2675,1186,0.443364
ability,sandking_scorpion_strike,2951,1306,0.442562
hero,slark,4363,1922,0.440523
ability,life_stealer_open_wounds,2557,1126,0.440360
ability,shadow_demon_shadow_poison,1539,677,0.439896
ability,earth_spirit_geomagnetic_grip,339,149,0.439528
ability,tinker_deploy_turrets,949,417,0.439410
ability,visage_summon_familiars,890,391,0.439326
hero,meepo,1152,506,0.439236
ability,enigma_demonic_conversion,1196,525,0.438963
ability,windrunner_focusfire,4580,2007,0.438210
ability,spirit_breaker_nether_strike,2222,972,0.437444
ability,antimage_mana_void,2306,1007,0.436687
ability,lycan_summon_wolves,1359,593,0.436350
ability,furion_force_of_nature,967,421,0.435367
hero,weaver,2579,1120,0.434277
